,title,year,director,genre,country,language,budget,US_box_office,box_office,usr_rating,metacritic
232,Brown Sugar ,2002.0,Rick Famuyiwa, Romance,USA,English,8000000.0,27363891.0,28316451.0,6.5,58
233,,,,,,,,,,,
234,The Times of Harvey Milk ,1984.0,Rob Epstein, Documentary,USA,English,,13801.0,46573.0,8.3,
235,Vacation from Marriage ,1945.0,Alexander Korda, Drama,UK,English,,,,7.0,
236,Goon ,2011.0,Michael Dowse, Comedy,USA,English,,4168528.0,6985158.0,6.8,64
237,Guardians of the Galaxy Vol. 2 ,2017.0,James Gunn, Action,USA,English,200000000.0,389813101.0,863756051.0,7.6,67
238,Eldfjall ,2011.0,Rúnar Rúnarsson, Drama,Iceland,Icelandic,,,424327.0,7.2,
239,Strangers with Candy ,2005.0,Paul Dinello, Comedy,USA,English,3500000.0,2072645.0,2254124.0,6.0,57
240,Tigers Are Not Afraid ,2017.0,Issa López, Fantasy,Mexico,Spanish,26040000.0,175559.0,576598.0,7.0,76
241,Little Miss Sunshine ,2006.0,Jonathan Dayton, Comedy,USA,English,8000000.0,59891098.0,101058954.0,7.8,80
242,Ah-ga-ssi ,2016.0,Chan-wook Park, Drama,South Korea,Korean,10000000000.0,2006788.0,37767206.0,8.1,84
243,In Search of a Midnight Kiss ,2007.0,Alex Holdridge, Comedy,USA,English,25000.0,172605.0,1294176.0,7.2,64
244,Pyaasa ,1957.0,Guru Dutt, Drama,India,Hindi,,,,8.5,
245,"Boeing, Boeing ",1965.0,John Rich, Comedy,USA,English,2200000.0,,,6.5,
246,Captain America: The First Avenger ,2011.0,Joe Johnston, Action,USA,English,140000000.0,176654505.0,370569774.0,6.9,66
247,Yomeddine ,2018.0,A.B. Shawky, Adventure,Egypt,Arabic,,11308.0,81030.0,7.2,62
248,Mind Game ,2004.0,Masaaki Yuasa, Animation,Japan,Japanese,,36613.0,36613.0,7.8,66
249,Grimm ,2003.0,Alex van Warmerdam, Adventure,Netherlands,Dutch,3700000.0,,240632.0,6.3,
250,Gospodin za edin den ,1983.0,Nikolay Volev, Comedy,Bulgaria,Bulgarian,,,,8.6,
251,This Is Spinal Tap ,1984.0,Rob Reiner, Comedy,USA,English,2500000.0,4736202.0,4736202.0,7.9,92
252,Operation Delta Force 3: Clear Target ,1998.0,Mark Roper, Action,USA,English,3000000.0,,,5.4,
253,,,,,,,,,,,
254,Walk Don't Run ,1966.0,Charles Walters, Comedy,USA,English,,9810000.0,,6.7,
255,Zeit der Kannibalen ,2014.0,Johannes Naber, Comedy,Germany,German,,,376702.0,7.1,
256,The Jackie Robinson Story ,1950.0,Alfred E. Green, Biography,USA,English,,,,6.4,
257,Ddongpari ,2008.0,Ik-joon Yang, Crime,South Korea,Korean,,,686703.0,7.6,
258,Comes a Horseman ,1978.0,Alan J. Pakula, Drama,USA,English,,9585769.0,9585769.0,6.3,41
259,The Girl with All the Gifts ,2016.0,Colm McCarthy, Action,UK,English,4000000.0,,4086096.0,6.6,67
260,Family Law ,2006.0,Daniel Burman, Comedy,Argentina,Spanish,,38605.0,1062915.0,6.9,66
261,Operation Pacific ,1951.0,George Waggner, Drama,USA,English,,,,6.7,
262,Pulse ,2001.0,Kiyoshi Kurosawa, Horror,Japan,Japanese,,51420.0,318451.0,6.5,70
263,Zana ,2019.0,Antoneta Kastrati, Drama,Kosovo,Albanian,,,,9.0,
264,Warrior ,2011.0,Gavin O'Connor, Action,USA,English,25000000.0,13657115.0,23308615.0,8.2,71
265,Mona Lisa Smile ,2003.0,Mike Newell, Drama,USA,English,65000000.0,63860942.0,141337989.0,6.5,45
266,Pee-wee's Big Adventure ,1985.0,Tim Burton, Adventure,USA,English,6000000.0,40940662.0,40940662.0,7.0,47
267,Boo-dang-geo-rae ,2010.0,Seung-wan Ryoo, Action,South Korea,Korean,,,,6.7,
268,,,,,,,,,,,
269,Jurassic World ,2015.0,Colin Trevorrow, Action,USA,English,150000000.0,652270625.0,1670401444.0,7.0,59
270,The Hobbit: The Battle of the Five Armies ,2014.0,Peter Jackson, Adventure,New Zealand,English,250000000.0,255119788.0,956019788.0,7.4,59
271,Dragon: The Bruce Lee Story ,1993.0,Rob Cohen, Action,USA,English,14000000.0,35113743.0,63513743.0,7.0,
272,Mahler ,1974.0,Ken Russell, Biography,UK,English,,,,7.0,
273,'38 ,1986.0,Wolfgang Glück, Drama,Austria,German,,,,6.4,
274,Halloween ,1978.0,John Carpenter, Horror,USA,English,325000.0,47000000.0,47000000.0,7.8,87
275,Comrade X ,1940.0,King Vidor, Comedy,USA,English,,,,6.6,
276,,,,,,,,,,,
277,Daha ,2017.0,Onur Saylak, Crime,Turkey,Arabic,,,129683.0,7.0,
278,A Girl Like Her ,2015.0,Amy S. Weber, Drama,USA,English,,,,7.0,54
279,Bed & Board ,1970.0,François Truffaut, Comedy,France,French,,509.0,509.0,7.5,
280,Danmarks sonner ,2019.0,Ulaa Salim, Drama,Denmark,Danish,,,13219.0,6.4,
281,Le premier jour du reste de ta vie ,2008.0,Rémi Bezançon, Drama,France,French,,,13247396.0,7.6,
282,Starred Up ,2013.0,David Mackenzie, Crime,UK,English,,54915.0,3025189.0,7.4,81
283,Ashoka the Great ,2001.0,Santosh Sivan, Action,India,Hindi,130000000.0,731277.0,1340718.0,6.5,
284,Mary Poppins Returns ,2018.0,Rob Marshall, Comedy,USA,English,130000000.0,171958438.0,349545966.0,6.7,66
285,Exit Through the Gift Shop ,2010.0,Banksy, Documentary,UK,English,,3291250.0,5386242.0,8.0,85
286,Then Came You ,2018.0,Peter Hutchings, Adventure,USA,,,,223649.0,7.0,44
287,Zero Day ,2002.0,Ben Coccio, Drama,USA,English,20000.0,8466.0,8466.0,7.2,69
